Altium Designer Pick and Place Locations
D:\Synology Drive\IRNAS-Projects\nRF-TestDevice\Electronics\nRF_Test_Device\04_OUTPUT_FILES\nRF-TestDevice_V1.0_PICK & PLACE\nRF-TestDevice_V1.0_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       04/01/21
Time:       11:47
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"R79","RES0402","49.4100","114.3101","49.4100","114.3101","48.9100","114.3101","TopLayer","180","10k"
"R78","RES0402","74.2900","112.7101","74.2900","112.7101","74.7900","112.7101","TopLayer","360","10k"
"R77","RES0402","74.2900","115.2401","74.2900","115.2401","74.7900","115.2401","TopLayer","360","10k"
"R76","RES0402","52.2700","112.6401","52.2700","112.6401","52.7700","112.6401","TopLayer","360","10k"
"R75","RES0402","52.2700","115.2301","52.2700","115.2301","52.7700","115.2301","TopLayer","360","10k"
"R74","RES0402","30.3400","112.6501","30.3400","112.6501","30.8400","112.6501","TopLayer","360","10k"
"R73","RES0402","30.3400","115.2201","30.3400","115.2201","30.8400","115.2201","TopLayer","360","10k"
"R72","RES0402","8.2100","112.7001","8.2100","112.7001","8.7100","112.7001","TopLayer","360","10k"
"R71","RES0402","8.2100","115.2601","8.2100","115.2601","8.7100","115.2601","TopLayer","360","10k"
"U18","Maxim_Integrated_T2844-1_IPC_A","44.6999","111.0800","44.6999","111.0800","42.7218","112.2800","TopLayer","180","INT - MAX14661ETI+"
"R68","RES0402","44.3999","115.9300","44.3999","115.9300","44.3999","116.4300","TopLayer","270","0R"
"R67","RES0402","45.5038","115.9300","45.5038","115.9300","45.5038","115.4300","TopLayer","90","0R"
"R66","RES0402","40.0548","116.0300","40.0548","116.0300","40.0548","116.5300","TopLayer","270","0R"
"R65","RES0402","41.1783","116.0380","41.1783","116.0380","41.1783","115.5380","TopLayer","90","0R"
"R64","RES0402","39.5999","112.2800","39.5999","112.2800","40.0999","112.2800","TopLayer","360","0R"
"R41","RES0402","61.4999","106.7800","61.4999","106.7800","61.9999","106.7800","TopLayer","360","10k"
"U13","UQFN_32","66.4999","106.4800","66.4999","106.4800","64.7499","104.0300","TopLayer","90","TCA6424ARGJR"
"T4","SOT-563","83.9800","116.0601","83.9800","116.0601","83.3450","116.5601","TopLayer","270","NTZD3154NT1G"
"T3","SOT-563","63.5100","116.8301","63.5100","116.8301","62.8750","117.3301","TopLayer","270","NTZD3154NT1G"
"T2","SOT-563","25.9277","117.2307","25.9277","117.2307","25.2927","117.7307","TopLayer","270","NTZD3154NT1G"
"T1","SOT-563","19.6600","117.3701","19.6600","117.3701","19.0250","117.8701","TopLayer","270","NTZD3154NT1G"
"R20","RES0402","85.6797","117.0701","85.6797","117.0701","85.6797","117.5701","TopLayer","270","100k"
"R19","RES0402","82.2397","117.0801","82.2397","117.0801","82.2397","117.5801","TopLayer","270","100k"
"R18","RES0402","85.6853","115.0898","85.6853","115.0898","85.6853","114.5898","TopLayer","90","100R"
"R17","RES0402","82.2397","115.0901","82.2397","115.0901","82.2397","114.5901","TopLayer","90","100R"
"R16","RES0402","65.2701","117.8477","65.2701","117.8477","65.2701","118.3477","TopLayer","270","100k"
"R15","RES0402","61.5899","117.8325","61.5899","117.8325","61.5899","118.3325","TopLayer","270","100k"
"R14","RES0402","65.2701","115.8477","65.2701","115.8477","65.2701","115.3477","TopLayer","90","100R"
"R13","RES0402","61.5899","115.8425","61.5899","115.8425","61.5899","115.3425","TopLayer","90","100R"
"R12","RES0402","27.7300","118.2501","27.7300","118.2501","27.7300","118.7501","TopLayer","270","100k"
"R11","RES0402","24.0100","118.2401","24.0100","118.2401","24.0100","118.7401","TopLayer","270","100k"
"R10","RES0402","27.7300","116.2501","27.7300","116.2501","27.7300","115.7501","TopLayer","90","100R"
"R9","RES0402","24.0000","116.2401","24.0000","116.2401","24.0000","115.7401","TopLayer","90","100R"
"R8","RES0402","21.4058","118.3907","21.4058","118.3907","21.4058","118.8907","TopLayer","270","100k"
"R7","RES0402","17.9740","118.3895","17.9740","118.3895","17.9740","118.8895","TopLayer","270","100k"
"R6","RES0402","21.3932","116.4006","21.3932","116.4006","21.3932","115.9006","TopLayer","90","100R"
"R5","RES0402","17.9640","116.3895","17.9640","116.3895","17.9640","115.8895","TopLayer","90","100R"
